"sensorId","accX","accY","accZ","orientationX","orientationY","orientationZ","timeFine"
"D4:22:CD:00:0C:D2","-0.3996371328830719","0.4769189953804016","8.804555892944336","-72.58784650175765","6.305353966318771","-84.29531185307913","3623058867"
"D4:22:CD:00:0C:D2","-0.4834419786930084","0.9438080191612244","9.23863410949707","-74.08872482353803","6.33226275393001","-85.56862599682923","3623075534"
"D4:22:CD:00:0C:D2","-0.0275774747133255","4.201551914215088","8.098268508911133","-76.66756657409734","6.707750075518519","-87.89745985943502","3623108868"
"D4:22:CD:00:0C:D2","1.1973485946655273","4.63319730758667","7.594411849975586","-77.66127070098729","7.660882027595923","-88.7764247408447","3623142202"
"D4:22:CD:00:0C:D2","2.1076314449310303","4.933680534362793","4.281501770019531","-77.39589415192644","7.618594919932681","-89.84839063743156","3623175536"
"D4:22:CD:00:0C:D2","3.1089277267456055","4.023022174835205","0.7768402099609375","-77.06752501324348","6.972038626415164","-90.93921251666113","3623208870"
"D4:22:CD:00:0C:D2","5.471717834472656","2.9040939807891846","-2.1997461318969727","-76.90528843819125","6.273877112277119","-90.64015900666412","3623242204"
"D4:22:CD:00:0C:D2","3.5207881927490234","-1.216596245765686","-7.2830891609191895","-77.12765731887247","6.624825884588088","-91.18721835533846","3623275538"
"D4:22:CD:00:0C:D2","1.8305919170379639","-1.3673677444458008","-9.293206214904785","-78.62992281376825","8.499038619660139","-94.63559774683362","3623308872"
"D4:22:CD:00:0C:D2","-1.146702766418457","-1.3013874292373657","-8.83826732635498","-80.90212217784334","10.938359246268023","-99.24246987621017","3623342206"
"D4:22:CD:00:0C:D2","-1.4164003133773804","-2.382422924041748","-7.379992485046387","-82.01556944534771","13.063987426024386","-102.891527882003","3623375540"
"D4:22:CD:00:0C:D2","-0.7222164869308472","-4.090672969818115","-7.40338134765625","-80.88907312323705","13.802606377103547","-104.20381503382664","3623408874"
"D4:22:CD:00:0C:D2","-2.2120349407196045","-8.580607414245605","-8.191679000854492","-79.2955761925848","12.363390867214855","-104.1232639562273","3623442208"
"D4:22:CD:00:0C:D2","-1.615821123123169","-10.576415061950684","-6.751178741455078","-78.98710710175416","10.376518155424657","-105.21220320700618","3623475542"
"D4:22:CD:00:0C:D2","-2.8152740001678467","-11.87199878692627","-6.059613227844238","-79.66324312962473","7.479770134303138","-107.17529067628318","3623508876"
"D4:22:CD:00:0C:D2","-3.472275495529175","-12.263429641723633","-4.803843021392822","-80.70071554745995","3.530460072439407","-108.52632919436128","3623542210"
"D4:22:CD:00:0C:D2","-3.110788345336914","-12.174160957336426","-4.163650989532471","-80.85298134443195","1.0693965051049794","-108.09524222302556","3623575544"
"D4:22:CD:00:0C:D2","-1.412250280380249","-9.32997989654541","-5.101957321166992","-80.60474693013212","-0.44818792365673993","-107.22247538682508","3623608878"
"D4:22:CD:00:0C:D2","-1.133530855178833","-7.842881679534912","-4.805358409881592","-80.64295328758325","-1.480080476230112","-106.2031431067578","3623642212"
"D4:22:CD:00:0C:D2","-0.4349149763584137","-6.008611679077148","-6.099621295928955","-80.70684235601655","-1.9790942091268824","-104.69485630092765","3623675546"
