"sensorId","accX","accY","accZ","orientationX","orientationY","orientationZ","timeFine"
"D4:22:CD:00:0C:D2","-0.6438668370246887","0.30528807640075684","2.765500068664551","-67.99216241533425","13.37055383367899","-78.80088514958916","1397448060"
"D4:22:CD:00:0C:D2","-0.9482420682907104","0.6066805720329285","3.408318519592285","-67.88512360725403","13.41007009419861","-78.6093027722953","1397464727"
"D4:22:CD:00:0C:D2","-1.4642893075942993","0.7379704713821411","5.279831886291504","-67.9384041305559","13.301497978105077","-78.318133888245","1397498061"
"D4:22:CD:00:0C:D2","-1.404687762260437","1.4656323194503784","7.313325881958008","-68.42475587133137","12.819567133237056","-78.37503178558235","1397531395"
"D4:22:CD:00:0C:D2","-1.6879135370254517","2.0162596702575684","8.184759140014648","-69.09463753451757","12.05684811442174","-78.58390555862037","1397564729"
"D4:22:CD:00:0C:D2","-1.2373757362365723","4.306743144989014","6.956033706665039","-70.0350515763794","11.200126496466934","-79.66283039709539","1397598063"
"D4:22:CD:00:0C:D2","0.34938427805900574","7.052256107330322","5.563486099243164","-71.17951222970208","9.581711702689574","-80.87115676448711","1397631397"
"D4:22:CD:00:0C:D2","1.8657002449035645","8.064469337463379","3.681881904602051","-72.13845134382885","7.20010247030877","-81.98104322234515","1397664731"
"D4:22:CD:00:0C:D2","3.4033682346343994","7.293691635131836","0.5954732894897461","-73.26246208286955","4.165240617986054","-83.51961762800659","1397698065"
"D4:22:CD:00:0C:D2","4.692235946655273","4.836419105529785","-1.2199821472167969","-74.7949386413141","0.7864577996230467","-84.61713846534425","1397731399"
"D4:22:CD:00:0C:D2","4.92228364944458","0.9610558748245239","-2.546093463897705","-76.45300035121952","-2.185471573414221","-85.92911593866583","1397764733"
"D4:22:CD:00:0C:D2","5.2807464599609375","0.24651847779750824","-3.8088274002075195","-77.4007195098092","-4.100855735244501","-88.2831936059287","1397798067"
"D4:22:CD:00:0C:D2","3.0708367824554443","-2.8422656059265137","-5.437910079956055","-77.9560948941904","-5.266880408794532","-90.82819164046947","1397831401"
"D4:22:CD:00:0C:D2","1.7185139656066895","-1.2321135997772217","-4.228175640106201","-78.27170367468472","-5.199540916286725","-95.17394784659633","1397864735"
"D4:22:CD:00:0C:D2","1.3399302959442139","-1.5362659692764282","-4.879368782043457","-77.51861205185918","-4.070553429704941","-97.70071638750655","1397898069"
"D4:22:CD:00:0C:D2","-0.796629011631012","-0.7171614170074463","-6.209632873535156","-76.6135053569881","-3.28022948389819","-99.83328893670084","1397931403"
"D4:22:CD:00:0C:D2","0.26969748735427856","-1.3318231105804443","-4.229083061218262","-75.52279612080342","-2.28651066587552","-98.75474410800753","1397964737"
"D4:22:CD:00:0C:D2","-1.328819751739502","-3.4748382568359375","-5.30604887008667","-75.23770576547955","-3.3596544535952755","-98.16008862355181","1397998071"
"D4:22:CD:00:0C:D2","-3.135284423828125","-5.338342189788818","-3.4044575691223145","-76.67645944534621","-6.219079311013482","-98.29138491881719","1398031405"
"D4:22:CD:00:0C:D2","-5.470693111419678","-8.080159187316895","-0.9275178909301758","-78.52646776238502","-9.812551033195486","-98.28719009548449","1398064739"
"D4:22:CD:00:0C:D2","-5.497039318084717","-7.371483325958252","0.7557868957519531","-79.53574516043719","-12.68271477412159","-98.64739489258422","1398098073"
"D4:22:CD:00:0C:D2","-4.186417102813721","-6.709717273712158","0.3194723129272461","-80.23292556923688","-15.302939922152339","-98.42044062011269","1398131407"
"D4:22:CD:00:0C:D2","-2.4808387756347656","-6.628611087799072","0.18851375579833984","-81.09964291571934","-17.998727545227386","-98.30330655530263","1398164741"
"D4:22:CD:00:0C:D2","-0.7260422706604004","-4.964359760284424","-1.045806884765625","-81.68436855284116","-20.129563027736634","-98.15263762585809","1398198075"
"D4:22:CD:00:0C:D2","0.04429725185036659","-3.942653179168701","-3.043978691101074","-82.58164259971514","-22.513923075719106","-97.60192930397776","1398231409"
"D4:22:CD:00:0C:D2","-0.19433581829071045","-4.244500160217285","-4.030489444732666","-83.96722883405877","-25.369869523593835","-97.16029259925686","1398264743"
"D4:22:CD:00:0C:D2","0.12893101572990417","-3.8400321006774902","-4.609477996826172","-85.3533498002137","-27.996334072513903","-96.87105132852099","1398298077"
"D4:22:CD:00:0C:D2","0.4550244212150574","-4.29966926574707","-3.51826810836792","-86.84823658428574","-30.091995150121658","-95.88033786235567","1398331411"
"D4:22:CD:00:0C:D2","1.040844202041626","-2.883497714996338","-3.8652443885803223","-87.88596946488323","-31.021684159764444","-95.12288610304259","1398364745"
"D4:22:CD:00:0C:D2","0.8440128564834595","-1.598588228225708","-3.742694854736328","-88.56495736377221","-30.919338719895183","-93.82668444513364","1398398079"
"D4:22:CD:00:0C:D2","0.2267649620771408","-1.8049954175949097","-2.714165687561035","-88.39132532158624","-29.466802582150937","-92.05241491881063","1398431413"
"D4:22:CD:00:0C:D2","0.6912494897842407","-1.0148893594741821","-4.824615955352783","-86.71479033306382","-26.2600324493117","-90.24363318402493","1398464747"
"D4:22:CD:00:0C:D2","1.6384409666061401","1.6640558242797852","-6.648941993713379","-83.53660052202518","-21.624008402932134","-88.20124279942047","1398498081"
"D4:22:CD:00:0C:D2","4.27871036529541","5.848531246185303","-6.490347385406494","-77.99593418486816","-16.08451419864508","-86.29022111262069","1398531415"
"D4:22:CD:00:0C:D2","6.644776344299316","9.854399681091309","-5.117386817932129","-71.48052373779208","-9.932690503814932","-83.24677461295295","1398564749"
"D4:22:CD:00:0C:D2","6.445338726043701","11.874876976013184","1.834909439086914","-66.00452961945354","-3.6037106278125415","-80.16515488180448","1398598083"
"D4:22:CD:00:0C:D2","2.6036295890808105","10.905350685119629","10.637075424194336","-62.683120660500364","3.16505597483827","-78.15811555642202","1398631417"
"D4:22:CD:00:0C:D2","-1.6143205165863037","7.781393527984619","17.700634002685547","-61.66891311291313","9.044975567036355","-76.35143566489552","1398664751"
"D4:22:CD:00:0C:D2","-4.759389400482178","7.411764621734619","20.447742462158203","-62.226028283045174","13.449689417029177","-75.26642823790327","1398698085"
"D4:22:CD:00:0C:D2","-4.7801713943481445","9.417691230773926","18.155406951904297","-63.21949354885876","14.325874065404777","-74.86845171827986","1398731419"
"D4:22:CD:00:0C:D2","-2.3079631328582764","8.803787231445312","11.031938552856445","-64.54438130323962","11.933014312570792","-75.00798148913579","1398764753"
"D4:22:CD:00:0C:D2","-0.036648526787757874","6.75281286239624","5.5322980880737305","-66.73151430214966","8.179427944658281","-75.56639613217143","1398798087"
"D4:22:CD:00:0C:D2","0.9113427996635437","6.1242756843566895","1.7501897811889648","-69.68801011679894","4.453430748955778","-76.37537720422483","1398831421"
"D4:22:CD:00:0C:D2","0.7560739517211914","5.495616912841797","0.322113037109375","-73.0005347481865","1.008859117651549","-77.61032460495434","1398864755"
"D4:22:CD:00:0C:D2","1.305935263633728","5.835052490234375","-1.028573989868164","-76.09591335267704","-2.4150640019483443","-79.10109450861582","1398898089"
"D4:22:CD:00:0C:D2","1.2289444208145142","4.74240779876709","-2.2438058853149414","-78.76812549037282","-5.426546101866061","-80.61341253404628","1398931423"
"D4:22:CD:00:0C:D2","1.4677914381027222","4.904332160949707","-3.058220863342285","-81.79947022077667","-8.28471589484715","-83.15811994860769","1398964757"
"D4:22:CD:00:0C:D2","2.058232307434082","3.131850004196167","-4.379809379577637","-84.80477669353442","-10.535351856562519","-86.4391939889495","1398998091"
"D4:22:CD:00:0C:D2","0.34422147274017334","0.6514890789985657","-3.261664390563965","-87.13215582233379","-12.32720098356255","-90.78192422601394","1399031425"
"D4:22:CD:00:0C:D2","-0.03807353228330612","1.6449600458145142","-3.869163990020752","-87.79796227557961","-12.90923748512373","-95.7622001350677","1399064759"
"D4:22:CD:00:0C:D2","-0.6467950940132141","1.159641146659851","-4.125003814697266","-87.02523432542978","-13.657062606712964","-99.08605035640011","1399098093"
"D4:22:CD:00:0C:D2","0.9045942425727844","-1.5129096508026123","-4.095918655395508","-85.61130363431252","-14.328381902249653","-98.99388460559749","1399131427"
"D4:22:CD:00:0C:D2","0.3985759913921356","-4.401507377624512","-5.412650108337402","-83.1880689634588","-14.44569301881056","-96.9741890525006","1399164761"
"D4:22:CD:00:0C:D2","1.4857407808303833","-5.542884826660156","-5.465680122375488","-81.4202867011174","-13.905359006636546","-94.22110402621381","1399198095"
"D4:22:CD:00:0C:D2","0.22318217158317566","-6.389005184173584","-3.2601380348205566","-80.65630373700273","-14.385742014882007","-94.82564566667962","1399231429"
"D4:22:CD:00:0C:D2","0.5768157243728638","-3.9533867835998535","-1.2180795669555664","-80.28926640723036","-15.775586531495938","-97.50909109253152","1399264763"
"D4:22:CD:00:0C:D2","-1.2735576629638672","-6.1021037101745605","-0.19045162200927734","-80.44836014807035","-17.486439377506578","-97.45866133866005","1399298097"
"D4:22:CD:00:0C:D2","-1.0164941549301147","-6.121106147766113","1.7119340896606445","-81.11421444592406","-18.834438852237962","-97.0147722679662","1399331431"
"D4:22:CD:00:0C:D2","-0.8950417637825012","-4.3783369064331055","0.26950550079345703","-81.21930172388072","-18.890227024696486","-96.5828598359515","1399364765"
"D4:22:CD:00:0C:D2","-0.31660130620002747","-2.8000059127807617","-1.5973873138427734","-81.61009510470656","-18.89904526570659","-95.50684942098118","1399398099"
"D4:22:CD:00:0C:D2","-0.13763481378555298","-2.5614888668060303","-2.66318416595459","-82.57911456403602","-19.63759916455804","-94.16273197506031","1399431433"
"D4:22:CD:00:0C:D2","-0.31464868783950806","-3.4197816848754883","-2.2650718688964844","-83.7063866227877","-20.557083534919492","-92.85661337951797","1399464767"
"D4:22:CD:00:0C:D2","-0.24986080825328827","-3.2801947593688965","-3.8403916358947754","-84.41200905240865","-20.90746323924114","-91.42226445234424","1399498101"
"D4:22:CD:00:0C:D2","0.12799036502838135","-2.857294797897339","-3.4407734870910645","-85.1988343786026","-21.081447050221193","-89.93517315286915","1399531435"
"D4:22:CD:00:0C:D2","0.3508049249649048","-2.1091930866241455","-4.798362731933594","-85.26297015477748","-20.397168829851314","-88.1209752758015","1399564769"
"D4:22:CD:00:0C:D2","0.39865171909332275","-0.9097297787666321","-4.800580024719238","-84.71605631381705","-18.978182997676694","-86.52754911171729","1399598103"
"D4:22:CD:00:0C:D2","2.3270676136016846","1.8905771970748901","-5.441352844238281","-83.07381792061946","-16.72741688517832","-85.24685227017191","1399631437"
"D4:22:CD:00:0C:D2","2.8609120845794678","3.2209815979003906","-7.427844047546387","-81.18291911146977","-14.574212725956503","-83.88652637766056","1399664771"
