"sensorId","accX","accY","accZ","orientationX","orientationY","orientationZ","timeFine"
"D4:22:CD:00:0C:D2","0.11405016481876373","-0.07174855470657349","-0.10985851287841797","170.02548104346099","-66.42050286795327","-136.02344083308537","655419050"
"D4:22:CD:00:0C:D2","0.2513982057571411","0.06760283559560776","-0.9462623596191406","169.6384130722225","-66.67061631446383","-135.5386917506063","655452384"
"D4:22:CD:00:0C:D2","0.8199458718299866","0.5229560136795044","-2.2810916900634766","167.48989595518398","-67.04123872504213","-133.29661549786002","655485718"
"D4:22:CD:00:0C:D2","1.1137462854385376","1.1983236074447632","-4.250368595123291","162.45426043578695","-67.24834071345062","-127.7685957812008","655519052"
"D4:22:CD:00:0C:D2","0.9516608119010925","1.965765118598938","-5.515140533447266","154.01880703805017","-66.54161591265543","-118.25327498153764","655552386"
"D4:22:CD:00:0C:D2","-0.3248336613178253","3.4583029747009277","-6.336908340454102","143.5163385745403","-64.14990931240555","-105.98714794013415","655585720"
"D4:22:CD:00:0C:D2","-2.0498695373535156","3.435671806335449","-4.761593818664551","132.65741605921957","-59.32691914259984","-93.05018923253058","655619054"
"D4:22:CD:00:0C:D2","-3.0119571685791016","3.4810140132904053","-3.047645092010498","124.4040620616753","-52.24341388418978","-82.57691869206423","655652388"
"D4:22:CD:00:0C:D2","-3.933044910430908","4.0866498947143555","-1.2080450057983398","119.10395252275232","-43.68207407663981","-75.05796726023746","655685722"
"D4:22:CD:00:0C:D2","-4.024838447570801","2.6277873516082764","1.7573127746582031","116.75216123639623","-33.69435673535759","-70.56001480669916","655719056"
"D4:22:CD:00:0C:D2","-2.5272600650787354","0.13089321553707123","4.958089828491211","116.13198710520206","-23.264028692011884","-68.12264849177605","655752390"
"D4:22:CD:00:0C:D2","-0.8218405842781067","-2.887754201889038","6.047808647155762","115.89276435128174","-13.873994628171028","-65.31267970934236","655785724"
"D4:22:CD:00:0C:D2","0.2675316035747528","-4.864414215087891","6.588747024536133","116.29359567503771","-6.2055220285177475","-61.80113580842411","655819058"
"D4:22:CD:00:0C:D2","0.9373789429664612","-7.226820468902588","5.155579566955566","117.49540856680821","0.6797051424890451","-59.760889631550135","655852392"
"D4:22:CD:00:0C:D2","2.8013365268707275","-8.585977554321289","4.3953752517700195","118.51227068357626","7.371980444885054","-60.61085805145759","655885726"
"D4:22:CD:00:0C:D2","3.107482671737671","-8.181175231933594","2.063958168029785","118.87839914124353","11.818774230987563","-61.82420092528991","655919060"
"D4:22:CD:00:0C:D2","3.3484082221984863","-9.110014915466309","-0.4597301483154297","118.77903818135105","12.627323564964474","-62.292662120944264","655952394"
"D4:22:CD:00:0C:D2","0.9489935636520386","-5.166936874389648","-0.9993925094604492","118.50034652693881","9.814164365699902","-61.12367545667369","655985728"
"D4:22:CD:00:0C:D2","0.7948740124702454","-2.79386305809021","-1.7637968063354492","117.86591568147354","8.078475979608724","-62.07105874328379","656019062"
"D4:22:CD:00:0C:D2","1.9803798198699951","-3.980121612548828","-1.318277359008789","117.77764200008274","5.379289805867051","-62.48818967355417","656052396"
"D4:22:CD:00:0C:D2","1.967166543006897","-5.550662517547607","-0.4890108108520508","117.84093624773013","1.4840279385490711","-62.41835233850493","656085730"
"D4:22:CD:00:0C:D2","2.321681022644043","-6.628299713134766","0.7633342742919922","117.88985182717393","-3.2918855837366627","-63.476744292420285","656119064"
"D4:22:CD:00:0C:D2","1.4909480810165405","-6.086841106414795","2.8256635665893555","118.00943084546326","-9.58586262722519","-64.67295180096802","656152398"
"D4:22:CD:00:0C:D2","-0.11587850749492645","-4.603259563446045","4.135476112365723","118.13096743620281","-17.121986088772797","-66.02417960020298","656185732"
"D4:22:CD:00:0C:D2","-1.923548936843872","-0.7151462435722351","4.946089744567871","118.54200588799374","-25.133880226574856","-68.32916354610353","656219066"
"D4:22:CD:00:0C:D2","-1.123635172843933","2.441432476043701","6.379493713378906","117.84883104365058","-34.860989028212764","-69.18513369443991","656252400"
"D4:22:CD:00:0C:D2","-4.283244609832764","7.4933953285217285","1.892125129699707","108.72730396088535","-46.805871586634645","-59.57013891297145","656285734"
"D4:22:CD:00:0C:D2","-5.215398788452148","5.1032209396362305","-2.9859514236450195","104.6566612970558","-53.79574173783351","-58.503815094146326","656319068"
"D4:22:CD:00:0C:D2","1.0424970388412476","3.507458448410034","3.9506635665893555","114.35963939529567","-58.04635291816141","-71.83718848585778","656352402"
"D4:22:CD:00:0C:D2","-2.0308761596679688","3.1769790649414062","-0.608698844909668","120.52919529506778","-64.2192270042287","-79.54871752840322","656385736"
